DataRef;Command
laminar/A333/buttons/adirs/adr3_pos;laminar/A333/buttons/adirs/adr3_toggle
laminar/A333/buttons/adirs/adr1_pos;laminar/A333/buttons/adirs/adr1_toggle
laminar/A333/buttons/adirs/ir1_pos;laminar/A333/buttons/adirs/ir1_toggle
laminar/A333/buttons/adirs/ir3_pos;laminar/A333/buttons/adirs/ir3_toggle
laminar/A333/buttons/adirs/ir2_pos;laminar/A333/buttons/adirs/ir2_toggle
laminar/A333/buttons/gear/brake_fans_pos;sim/flight_controls/brakes_rto_auto
laminar/A333/buttons/gear/auto_brake_max_pos;sim/flight_controls/brakes_2_auto
laminar/A333/buttons/gear/auto_brake_med_pos;sim/flight_controls/brakes_1_auto
laminar/A333/buttons/gear/auto_brake_low_pos;sim/instruments/EFIS_copilot_terr
laminar/A333/buttons/EFIS_terr_on_nd_fo;sim/instruments/EFIS_terr
laminar/A333/buttons/EFIS_terr_on_nd_capt;laminar/A333/buttons/pfd_nd_capt_swap
laminar/A333/buttons/pfd_nd_swap_capt_pos;laminar/A333/buttons/pfd_nd_capt_swap
laminar/A333/buttons/pfd_nd_swap_fo_pos;laminar/A333/buttons/pfd_nd_fo_swap
laminar/A333/buttons/EFIS_true_north_ref_pos;laminar/A333/buttons/EFIS_tru_north
laminar/a333/misc/capt_visor;0.000
laminar/a333/misc/fo_visor;0.000
laminar/A333/fire/switches/eng1_handle;laminar/A333/fire/switches/engine1_fire_push
laminar/A333/fire/switches/eng2_handle;laminar/A333/fire/switches/engine2_fire_push
laminar/A333/fire/switches/apu_handle;laminar/A333/fire/switches/apu_fire_push
CMND=sim/instruments/chrono1_reset;sim/instruments/chrono1_reset
CMND=sim/instruments/chrono1_start_stop;sim/instruments/chrono1_start_stop
CMND=sim/instruments/timer_show_date;sim/instruments/timer_show_date
laminar/A333/comm/push_button/rtp_C_freq_swap;laminar/A333/rtp_C/freq_txfr/sel_switch
laminar/A333/comm/push_button/rtp_C_vhf_1_pos;laminar/A333/rtp_C/vhf_1/sel_switch
laminar/A333/comm/push_button/rtp_C_vhf_2_pos;laminar/A333/rtp_C/vhf_2/sel_switch
laminar/A333/comm/push_button/rtp_C_vhf_3_pos;laminar/A333/rtp_C/vhf_3/sel_switch
laminar/A333/comm/push_button/rtp_C_hf_2_pos;laminar/A333/rtp_C/hf_2/sel_switch
laminar/A333/comm/push_button/rtp_C_am_pos;laminar/A333/rtp_C/am/sel_switch
laminar/A333/comm/push_button/rtp_C_hf_1_pos;laminar/A333/rtp_C/hf_1/sel_switch
sim/flightmodel2/misc/door_open_ratio[6];sim/flight_controls/door_open_7
sim/flightmodel2/misc/door_open_ratio[7];sim/flight_controls/door_open_8
sim/flightmodel2/misc/door_open_ratio[5];sim/flight_controls/door_open_6
sim/flightmodel2/misc/door_open_ratio[4];sim/flight_controls/door_open_5
sim/flightmodel2/misc/door_open_ratio[3];sim/flight_controls/door_open_4
sim/flightmodel2/misc/door_open_ratio[2];sim/flight_controls/door_open_3
sim/flightmodel2/misc/door_open_ratio[1];sim/flight_controls/door_open_2
sim/flightmodel2/misc/door_open_ratio[0];sim/flight_controls/door_open_1
laminar/A333/switches/park_brake_lift;sim/flight_controls/parking_brake
laminar/A333/barometer/capt_pull_std_pos;sim/cockpit2/gauges/barometer_std_capt
laminar/A333/barometer/fo_pull_std_pos;sim/cockpit2/gauges/barometer_std_fo
laminar/A333/autopilot/knobs/vertical_push_pos;sim/autopilot/altitude_up
laminar/A333/autopilot/knobs/altitude_push_pos;sim/autopilot/altitude_dn
laminar/A333/autopilot/knobs/heading_push_pos;sim/autopilot/heading_up
